Time,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Label
Mon Sep 24 16:38:07 2018,-0.451,-0.068,-0.892,43.388,93.88,24.216,27.053,-23.649,-66.022,1
Mon Sep 24 16:38:08 2018,-0.377,-0.734,-0.903,42.725,134.964,14.404,36.495,-26.582,-58.667,1
Mon Sep 24 16:38:08 2018,-0.557,-0.099,-0.94,55.313,118.835,3.853,46.663,-22.549,-52.362,2
Mon Sep 24 16:38:08 2018,-0.314,-0.165,-0.951,102.409,82.626,18.929,55.559,-17.966,-49.735,1
Mon Sep 24 16:38:08 2018,-0.368,-0.058,-0.757,-47.508,-34.767,-29.327,56.104,-17.782,-48.159,0
Mon Sep 24 16:38:09 2018,0.287,-0.865,-0.85,14.824,-68.283,60.333,54.288,-18.516,-53.763,1
Mon Sep 24 16:38:09 2018,-0.377,-0.57,-0.923,-80.62,127.579,-63.423,54.288,-19.249,-52.362,2
Mon Sep 24 16:38:09 2018,0.074,-0.738,-0.968,-18.242,-5.737,-1.633,53.744,-17.232,-53.938,0
Mon Sep 24 16:38:09 2018,-0.021,-0.446,-0.795,-0.71,-4.387,-2.823,53.017,-17.599,-52.887,0
Mon Sep 24 16:38:10 2018,-0.288,-1.034,-0.953,-90.225,-5.44,34.035,48.297,-17.966,-55.689,0
Mon Sep 24 16:38:10 2018,-0.214,-0.215,-1.028,62.431,112.518,-4.768,52.473,-17.416,-52.712,1
Mon Sep 24 16:38:10 2018,-0.384,-0.541,-0.893,38.01,-97.824,59.402,54.47,-15.033,-50.786,2
Mon Sep 24 16:38:10 2018,-0.066,-0.627,-0.854,14.496,-65.842,23.697,53.199,-15.949,-50.611,1
Mon Sep 24 16:38:11 2018,-0.309,-0.202,-0.976,18.135,-42.442,9.956,51.202,-15.033,-50.436,1
Mon Sep 24 16:38:11 2018,-0.213,-0.29,-1.036,20.737,26.901,66.093,54.652,-14.849,-49.91,2
Mon Sep 24 16:38:11 2018,-0.364,-0.824,-0.91,30.769,112.77,-4.318,58.101,-10.999,-45.882,1
Mon Sep 24 16:38:11 2018,-0.112,-0.383,-0.701,-67.688,-122.65,42.442,55.378,-10.449,-46.408,0
Mon Sep 24 16:38:12 2018,-0.169,-0.867,-0.897,20.79,-24.147,52.208,55.923,-10.633,-47.984,0
Mon Sep 24 16:38:12 2018,-0.267,-0.866,-1.032,-25.627,-48.47,-6.638,53.381,-13.199,-44.481,1
Mon Sep 24 16:38:12 2018,-0.019,-0.592,-1.001,6.531,62.317,9.56,53.199,-11.183,-44.306,1
Mon Sep 24 16:38:12 2018,-0.365,-0.539,-0.881,-56.053,75.05,-6.592,59.009,-6.416,-39.753,2
Mon Sep 24 16:38:13 2018,-0.472,-0.504,-0.893,-5.013,-21.385,10.368,59.554,-9.166,-39.928,1
Mon Sep 24 16:38:13 2018,-0.412,-0.19,-0.898,56.9,94.94,-59.509,60.28,-9.533,-39.578,1
Mon Sep 24 16:38:13 2018,-0.179,-0.303,-1.069,-65.643,-104.759,56.824,62.277,-6.05,-40.103,1
Mon Sep 24 16:38:13 2018,-0.113,-0.758,-1.144,-35.217,-13.687,32.715,62.641,-7.883,-40.804,2
Mon Sep 24 16:38:14 2018,-0.331,-0.573,-0.858,28.656,-26.588,7.599,64.638,-4.766,-39.928,1
Mon Sep 24 16:38:14 2018,-0.225,-0.859,-1.01,24.307,-25.597,17.601,65.001,-5.866,-43.081,1
Mon Sep 24 16:38:14 2018,-0.234,-0.606,-0.93,25.131,-22.667,17.38,64.638,-5.133,-41.68,1
Mon Sep 24 16:38:14 2018,-0.285,-0.824,-0.982,-29.259,-2.815,34.767,63.911,-2.567,-42.03,1
Mon Sep 24 16:38:15 2018,-0.281,-0.56,-0.888,-7.538,32.852,-18.288,65.546,-2.383,-39.053,0
Mon Sep 24 16:38:15 2018,-0.109,-0.388,-0.989,0.9,9.872,-16.212,64.638,-2.2,-42.03,1
Mon Sep 24 16:38:15 2018,-0.234,-0.459,-0.96,32.486,-20.187,41.733,65.182,-2.383,-41.855,1
Mon Sep 24 16:38:15 2018,-0.154,-0.356,-0.998,7.645,21.049,21.049,68.269,0.733,-40.279,1
Mon Sep 24 16:38:16 2018,-0.192,0.07,-0.826,53.375,92.224,-14.053,66.453,6.233,-37.827,0
Mon Sep 24 16:38:16 2018,-0.3,-0.781,-0.939,38.498,40.199,-25.81,65.546,13.749,-40.804,1
Mon Sep 24 16:38:16 2018,-0.158,-0.549,-0.926,-13.893,36.812,-29.381,64.819,13.749,-42.905,0
Mon Sep 24 16:38:16 2018,-0.284,-0.511,-0.89,48.347,-28.969,-20.638,64.638,15.766,-41.68,0
Mon Sep 24 16:38:17 2018,-0.16,-0.363,-1.055,-22.247,-74.57,47.31,64.638,14.299,-44.481,0
Mon Sep 24 16:38:17 2018,0.064,-0.591,-0.996,-37.537,-179.848,125.198,61.006,15.033,-45.532,1
Mon Sep 24 16:38:17 2018,-0.46,-0.507,-0.923,85.602,151.115,-128.441,57.738,9.166,-44.481,0
Mon Sep 24 16:38:17 2018,0.166,-1.313,-0.977,-41.26,-83.069,-38.971,57.375,0.367,-43.781,1
Mon Sep 24 16:38:18 2018,-0.234,-1.05,-0.919,57.991,150.764,-24.864,59.009,-3.117,-38.702,2
Mon Sep 24 16:38:18 2018,-0.372,-0.613,-1.001,-33.676,50.308,-74.486,60.643,-2.933,-38.177,1
Mon Sep 24 16:38:18 2018,-0.284,-0.63,-0.935,12.833,12.901,14.717,62.096,-4.4,-38.878,1
Mon Sep 24 16:38:18 2018,-0.278,-0.435,-0.841,39.81,-79.422,39.894,63.548,-4.033,-37.477,0
Mon Sep 24 16:38:18 2018,-0.149,-0.62,-0.942,29.793,-1.06,17.731,61.551,-5.316,-39.403,2
Mon Sep 24 16:38:19 2018,-0.306,-0.474,-1.039,16.258,87.036,-72.769,62.641,-6.416,-39.053,1
Mon Sep 24 16:38:19 2018,-0.308,-0.144,-1.045,-51.582,42.908,-9.377,64.275,-8.433,-39.928,0
Mon Sep 24 16:38:19 2018,0.027,-0.371,-0.939,-30.19,-27.397,36.4,64.275,-8.433,-40.279,2
Mon Sep 24 16:38:19 2018,-0.458,-0.16,-0.765,-58.472,-63.194,62.744,67.361,-8.983,-40.103,2
